ID;Name;Population;Region;Latitude;Longitude
593;Pieksämäki;17178;Etelä-Savo;62,3016121;27,1634769
595;Pielavesi;3980;Pohjois-Savo;63,2333327;26,7500075
598;Pietarsaari;19576;Österbotten;63,6744703;22,7055385
601;Pihtipudas;3692;Keski-Suomi;63,3706192;25,5754689
604;Pirkkala;21042;Pirkanmaa;61,4661459;23,6462649
607;Polvijärvi;3999;Pohjois-Karjala;62,8545083;29,3669331
608;Pomarkku;1931;Satakunta;61,6935412;22,0083959
609;Pori;83305;Satakunta;61,4866126;21,7972071
611;Pornainen;4961;Uusimaa;60,4756432;25,3745932
638;Porvoo;51737;Uusimaa;60,3944372;25,661997
614;Posio;2878;Lappi;66,1092595;28,1650783
615;Pudasjärvi;7304;Pohjois-Pohjanmaa;65,360401;26,9984899
616;Pukkila;1743;Uusimaa;60,6455948;25,581976
619;Punkalaidun;2607;Pirkanmaa;61,1157761;23,0993583
620;Puolanka;2345;Kainuu;64,8729778;27,6552537
623;Puumala;2101;Etelä-Savo;61,5225928;28,1775929
624;Pyhtää;5001;Kymenlaakso;60,4945625;26,7391561
625;Pyhäjoki;2976;Pohjois-Pohjanmaa;64,4663193;24,2550528
626;Pyhäjärvi;4702;Pohjois-Pohjanmaa;63,6809739;25,9733504
630;Pyhäntä;1641;Pohjois-Pohjanmaa;64,096296;26,3316485
631;Pyhäranta;1919;Varsinais-Suomi;60,94988;21,4426922
635;Pälkäne;6238;Pirkanmaa;61,3371322;24,2649422
636;Pöytyä;8011;Varsinais-Suomi;60,7409756;22,6282676
678;Raahe;23571;Pohjois-Pohjanmaa;64,6845313;24,4816349
710;Raasepori;27036;Uusimaa;59,9285263;23,5219234
680;Raisio;25738;Varsinais-Suomi;60,485513;22,1692664
681;Rantasalmi;3246;Etelä-Savo;62,063703;28,3045075
683;Ranua;3570;Lappi;65,9276817;26,5131044
684;Rauma;38968;Satakunta;61,1289148;21,5039401
686;Rautalampi;2935;Pohjois-Savo;62,6206984;26,8384638
687;Rautavaara;1413;Pohjois-Savo;63,4940502;28,2984908
689;Rautjärvi;3008;Etelä-Karjala;61,3648319;29,2090144
691;Reisjärvi;2556;Pohjois-Pohjanmaa;63,6041324;24,9355989
694;Riihimäki;28643;Kanta-Häme;60,7390089;24,7728148
697;Ristijärvi;1163;Kymenlaakso;61,1989177;26,8563219
698;Rovaniemi;65722;Lappi;66,5025657;25,73122
700;Ruokolahti;4733;Etelä-Karjala;61,2912416;28,8295473
702;Ruovesi;4039;Pirkanmaa;61,9856303;24,0703481
704;Rusko;6418;Varsinais-Suomi;60,5407302;22,2208801
707;Rääkkylä;1881;Pohjois-Karjala;62,3143267;29,6275617
